,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
2117,data/parsed/22/wsj_2212.mrg|8|67,"The board added that McCaw would be able to control LIN 's operations and could , `` therefore , operate LIN in [ a manner ] which could diminish its private market value and attractiveness to a third-party purchaser in five years . ''",manner,sg,NN,[u'property.n.02'],,NP,[],[],True,[],"['which', 'could']",[],"['LIN', 'in']",THE,A
2125,data/parsed/22/wsj_2213.mrg|1|4,[ A group ] of institutional investors in Telerate Inc. said that Dow Jones & Co. 's $ 18-a-share offer for the electronic financial information services company is `` grossly inadequate . '',group,sg,NN,[u'abstraction.n.06'],,NP,[],[],False,[],"['of', 'institutional']",[],[],THE,A
2141,data/parsed/22/wsj_2213.mrg|2|119,"In a letter filed with the Securities and Exchange Commission , the group , which holds about 4.5 million Telerate shares , or about 4.7 % of the shares outstanding , said `` ... at present none of us believes [ an offer ] for less than $ 25 per share would be fair and some believe that $ 25 is too low . ''",offer,sg,NN,[u'speech_act.n.01'],,NP,[],[],True,[],"['for', 'less']",[],"['us', u'believe']",THE,A
2210,data/parsed/22/wsj_2214.mrg|3|8,"If [ a solution ] is n't reached by then , she said , the U.S. would have the right to suspend some trade concessions to Canada equivalent in value to the losses suffered by U.S. fish-processing companies in Alaska and the Pacific Northwest .",solution,sg,NN,[u'mixture.n.01'],,S,[],[],False,[],"[u'be', ""n't""]",[],['If'],THE,A
2240,data/parsed/22/wsj_2214.mrg|6|22,The U.S. trade representative declined to put [ a dollar estimate ] on the losses resulting from the Canadian export restrictions .,estimate,sg,NN,[u'calculation.n.02'],,VP,[],['NN'],False,[],['on'],['dollar'],"['to', 'put']",THE,A
2284,data/parsed/22/wsj_2215.mrg|2|10,"To spend [ a carefree , ] idle day , When duty calls , to pay no heed , To while the precious hours away -- Character is what you need .",carefree,sg,NN,,,VP,"[',']",[],False,"[',']","['idle', 'day']",[],"['To', 'spend']",THE,A
2371,data/parsed/22/wsj_2217.mrg|2|19,"Were it true that [ a weak currency ] paves the way for trade surpluses , then presumably Argentina would be the center of today 's global economy .",currency,sg,NN,[u'medium_of_exchange.n.01'],,S,[],['JJ'],False,[],[u'pave'],['weak'],"['true', 'that']",THE,A
2614,data/parsed/22/wsj_2221.mrg|4|45,"`` We 're seeing nothing out of the ordinary , '' said one official at [ a Top 10 bank . ]",bank,sg,NN,[u'slope.n.01'],,PP,['.'],"['NNP', 'CD']",True,['.'],[],"['Top', '<number>']","['official', 'at']",THE,A
2621,data/parsed/22/wsj_2221.mrg|6|16,"Added another executive at [ a big bank : `` ] We were all a little goosey over the weekend trying to forecast what would happen -LCB- Monday -RCB- , but it 's been very quiet .",bank,sg,NN,[u'slope.n.01'],,PP,"[':', '``']",['JJ'],True,"[':', '``']","['We', u'be']",['big'],"['executive', 'at']",THE,A
2649,data/parsed/22/wsj_2222.mrg|5|54,"The New York Stock Exchange adopted two specific circuit breakers : If the Dow Jones index falls 250 points in [ a day , ] the exchange will halt trading for one hour ; if the decline hits 400 points , the exchange will close for an additional two hours .",day,sg,NN,[u'time_unit.n.01'],,PP,"[',']",[],False,"[',']",['exchange'],[],"[u'point', 'in']",THE,A
2658,data/parsed/22/wsj_2222.mrg|6|16,"The rationale is that [ an interruption ] of trading will allow investors to reconsider their strategies , calm sellers and lead buyers to enter the market at indicated new price levels .",interruption,sg,NN,[u'delay.n.02'],,NP,[],[],False,[],"['of', 'trading']",[],"[u'be', 'that']",THE,A
2785,data/parsed/22/wsj_2222.mrg|31|39,"In many ways , our financial markets are better prepared today to handle [ a decline ] than they were two years ago .",decline,sg,NN,[u'decrease.n.02'],,VP,[],[],True,[],"['than', 'they']",[],"['to', 'handle']",THE,A
2823,data/parsed/22/wsj_2223.mrg|1|3,[ A UNIFIED EUROPE ] poses labor problems and prospects for U.S. firms .,EUROPE,sg,NN,[],,S,[],['JJ'],False,[],"[u'pose', 'labor']",['UNIFIED'],[],THE,A
2862,data/parsed/22/wsj_2223.mrg|6|36,"Pfizer , Fluor and GE see big `` EC 92 '' pluses : [ a push ] for job training and ease in moving and finding workers .",push,sg,NN,[u'propulsion.n.02'],,NP,[],[],False,[],"['for', 'job']",[],"[u'plus', ':']",THE,A
2869,data/parsed/22/wsj_2223.mrg|8|22,"So said a federal judge , in [ a case ] involving two players for the minor league Bluefield , Va. , Orioles , a Baltimore farm team .",case,sg,NN,[u'happening.n.01'],,NP,[],[],False,[],"[u'involve', 'two']",[],"[',', 'in']",THE,A
2874,data/parsed/22/wsj_2223.mrg|8|62,"So said a federal judge , in a case involving two players for the minor league Bluefield , Va. , Orioles , [ a Baltimore farm team . ]",team,sg,NN,[u'unit.n.03'],,NP,['.'],"['NNP', 'NN']",False,['.'],[],"['Baltimore', 'farm']","['Orioles', ',']",THE,A
2896,data/parsed/22/wsj_2223.mrg|12|43,"More taunting in the parking lot , the players said S , led to [ a fight . ]",fight,sg,NN,[u'military_action.n.01'],,PP,['.'],[],False,['.'],[],[],"[u'lead', 'to']",THE,A
2902,data/parsed/22/wsj_2223.mrg|13|59,The fan said he was punched and kicked by one player and that the other broke his jaw with [ a baseball bat . ],bat,sg,NN,[u'placental.n.01'],,PP,['.'],['NN'],False,['.'],[],['baseball'],"['jaw', 'with']",THE,A
2909,data/parsed/22/wsj_2223.mrg|14|72,"The judge dismissed the fan 's suit against the team , however , ruling the Orioles innocent of negligent hiring , and not responsible for [ a fight ] that was outside the players ' employment .",fight,sg,NN,[u'military_action.n.01'],,NP,[],[],True,[],"['that', u'be']",[],"['responsible', 'for']",THE,A
2915,data/parsed/22/wsj_2223.mrg|16|4,[ An Association ] of Academic Health Centers report urges freeing nurses from duties that do n't require special skills .,Association,sg,NNP,[u'organization.n.01'],,NP,[],[],False,[],"['of', 'Academic']",[],[],THE,A
2929,data/parsed/22/wsj_2223.mrg|18|13,"But it opposes [ an American Medical Association proposal ] for creating a `` registered care technologist , '' as `` potentially divisive '' ; it says the job would entail an unwanted new doctor 's `` bedside '' extension .",proposal,sg,NN,[u'message.n.02'],,NP,[],"['NNP', 'NNP', 'NNP']",False,[],"['for', u'create']","['American', 'Medical', 'Association']","['it', u'oppose']",THE,A
2935,data/parsed/22/wsj_2223.mrg|19|7,"Over [ a third ] of 618 hospitals surveyed by consultant Hewitt Associates use a `` clinical ladder , '' basing advancement on performance and education .",third,sg,NN,[u'common_fraction.n.01'],,NP,[],[],False,[],"['of', '<number>']",[],['Over'],THE,A
2989,data/parsed/22/wsj_2223.mrg|28|41,"CURBING WAGE BOOSTS will get high priority again in 1990 collective bargaining , [ a Bureau ] of National Affairs survey of 250 companies with pacts expiring next year indicates S .",Bureau,sg,NNP,[u'administrative_unit.n.01'],,NP,[],[],False,[],"['of', 'National']",[],"['bargaining', ',']",THE,A
3059,data/parsed/22/wsj_2223.mrg|39|81,"Federal Express , Dow Chemical , Ford and National City Corp. will buy the home or let the worker sell to an outside firm , but usually wo n't cover [ a loss . ]",loss,sg,NN,[u'transferred_property.n.01'],,VP,['.'],[],True,['.'],[],[],"[""n't"", 'cover']",THE,A
3140,data/parsed/22/wsj_2224.mrg|10|68,"Of greater help , the Big Board chairman said SINV , was the `` natural circuit breaker '' of the weekend , that provided [ a breathing period ] that `` brought rationality back to the market .",period,sg,NN,[u'fundamental_quantity.n.01'],,NP,[],['VBG'],True,[],"['that', '``']",[u'breathe'],"['that', u'provide']",THE,A
3264,data/parsed/22/wsj_2225.mrg|26|3,"[ A harder sell , ] says S John Kosar , the firm 's president , would `` detract from the profession . ''",sell,sg,NN,[u'sale.n.02'],,S,"[',']",['JJR'],False,"[',']","[u'say', 'S']",[u'hard'],[],THE,A
3278,data/parsed/22/wsj_2225.mrg|29|16,"`` There 's always [ a risk ] of lost messages , '' says John Fitzgerald , chairman of Ketchum Advertising USA , which created similar radio spots for Pittsburgh National Bank .",risk,sg,NN,[u'danger.n.03'],,NP,[],[],False,[],"['of', u'lose']",[],"[""'s"", 'always']",THE,A
3394,data/parsed/22/wsj_2226.mrg|2|95,"If she is nominated by President Bush and confirmed by the Senate , Dr. Novello would succeed C. Everett Koop , who rattled liberals and conservatives alike with his outspoken views on [ a range ] of health issues .",range,sg,NN,[u'extent.n.02'],,NP,[],[],False,[],"['of', 'health']",[],"[u'view', 'on']",THE,A
3449,data/parsed/22/wsj_2227.mrg|5|53,But the NAHB was created in 1943 out of an organization that made its name fighting [ a Roosevelt administration proposal ] to take over all defense housing production .,proposal,sg,NN,[u'message.n.02'],,NP,[],"['NNP', 'NN']",False,[],"['to', 'take']","['Roosevelt', 'administration']","['name', u'fight']",THE,A
3568,data/parsed/22/wsj_2227.mrg|25|12,"The association , [ a majority ] of whose 156,000 members build fewer than 25 units a year , is like many other business lobbies .",majority,sg,NN,[u'number.n.01'],,NP,[],[],False,[],"['of', 'whose']",[],"['association', ',']",THE,A
3639,data/parsed/22/wsj_2228.mrg|2|90,"According to diplomatic sources in Brussels , most EC leaders agree that talks should begin in the second half of 1990 , and will make a declaration on that during [ a summit meeting ] in Strasbourg , France , on Dec. 8 and 9 .",meeting,sg,NN,[u'gathering.n.01'],,NP,[],['NN'],False,[],"['in', 'Strasbourg']",['summit'],"['that', 'during']",THE,A
3649,data/parsed/22/wsj_2228.mrg|5|7,"Setting [ a date ] to start treaty negotiations has no legal significance in itself , but could be viewed as an important psychological push .",date,sg,NN,[u'day.n.01'],,VP,[],[],True,[],"['to', 'start']",[],['Setting'],THE,A
3700,data/parsed/22/wsj_2229.mrg|7|26,"Although the union-bidder expects to patch together [ a substitute offer , ] consisting of less cash , the failure to get cash from Japanese and American banks confirmed a growing fear among arbitragers that the pageant of high-leverage takeover deals is ending .",offer,sg,NN,[u'speech_act.n.01'],,NP,"[',']",['NN'],False,"[',']","[u'consist', 'of']",['substitute'],"['patch', 'together']",THE,A
3734,data/parsed/22/wsj_2229.mrg|11|12,"Gray Friday reflects [ a panic ] mainly by the takeover arbitragers , rather than the small investor , as their highly margined investments in the `` deal '' stocks are jeopardized by the unexpected drying up of the lubricant for deal financing .",panic,sg,NN,[u'fear.n.01'],,NP,[],[],False,[],"['mainly', 'by']",[],"['Friday', u'reflect']",THE,A
3774,data/parsed/22/wsj_2229.mrg|18|33,"The multibillion-dollar prospects , where the bidder must line up [ a consortium ] of banks and\\/or issue billions in high-yield debt , were where the damage was concentrated .",consortium,sg,NN,[u'association.n.01'],,NP,[],[],False,[],"['of', u'bank']",[],"['line', 'up']",THE,A
3824,data/parsed/22/wsj_2229.mrg|24|81,"Of course , Washington had n't been silent in the days leading up to the debacle , and its tendency to meddle in the leverage equation remains [ a troublesome prospect , ] but those preliminary steps should n't distract us from the basic market fundamentalism that was at work on Friday .",prospect,sg,NN,[u'potential.n.01'],,VP,"[',']",['JJ'],False,"[',']","['but', 'those']",['troublesome'],"['equation', u'remain']",THE,A
3978,data/parsed/22/wsj_2230.mrg|6|47,"Shares also closed sharply lower across Europe , particularly in Frankfurt , although London and [ a few other markets ] recovered some ground after stocks began to rebound in New York .",market,pl,NN,[u'activity.n.01'],,NP,[],"['JJ', 'JJ']",True,[],"[u'recover', 'some']","['few', 'other']","['London', 'and']",THE,A
4010,data/parsed/22/wsj_2230.mrg|11|59,"`` We did n't trade much today , as our policy now is to wait and see , '' said [ a fund manager ] at Taisho Life Insurance Co .",manager,sg,NN,[u'administrator.n.01'],,NP,[],['NN'],True,[],"['at', 'Taisho']",['fund'],"[""''"", u'say']",THE,A
4054,data/parsed/22/wsj_2230.mrg|21|4,"[ A midmorning rebound ] brought it back to show a gain of about 200 at the end of the morning session , but the rally failed in the afternoon , and the market closed near the day 's low .",rebound,sg,NN,[u'movement.n.03'],,S,[],['NN'],False,[],"[u'bring', 'it']",['midmorning'],[],THE,A
4213,data/parsed/22/wsj_2230.mrg|45|91,Brokers and fund managers said the region 's markets were reacting to Friday 's Wall Street plunge even though that decline was due to local factors such as failed corporate buy-outs and [ a deteriorating junk-bond market . ],market,sg,NN,[u'activity.n.01'],,NP,['.'],"['VBG', 'NN']",True,['.'],[],"[u'deteriorate', 'junk-bond']","['buy-outs', 'and']",THE,A
4345,data/parsed/22/wsj_2230.mrg|67|17,"Retail investors dumped holdings on [ a massive scale , ] pushing some blue-chip shares down as much as 20 % .",scale,sg,NN,[u'standard.n.01'],,PP,"[',']",['JJ'],False,"[',']","[u'push', 'some']",['massive'],"[u'holding', 'on']",THE,A
4422,data/parsed/22/wsj_2231.mrg|12|17,The proposed initiative would mandate [ a reduction ] of carbon dioxide of 40 % .,reduction,sg,NN,[u'change_of_magnitude.n.01'],,NP,[],[],False,[],"['of', 'carbon']",[],"['would', 'mandate']",THE,A
4521,data/parsed/22/wsj_2231.mrg|31|27,Of course the state 's liberals are not yet [ a nation ] unto themselves .,nation,sg,NN,[u'political_unit.n.01'],,VP,[],[],False,[],"['unto', 'themselves']",[],"['not', 'yet']",THE,A
4529,data/parsed/22/wsj_2231.mrg|32|75,"George Bush , for example , may decide that he does n't want to be the President who lost control of interstate commerce to [ an attorney general ] from California .",general,sg,NN,[u'general_officer.n.01'],,PP,[],['NN'],False,[],"['from', 'California']",['attorney'],"['commerce', 'to']",THE,A
4545,data/parsed/22/wsj_2231.mrg|34|42,"This grandiose initiative will help California define itself for the future either as [ a state ] still tethered to economic and scientific reality , or as one being led to wherever its la-la activists want to take it .",state,sg,NN,[u'administrative_district.n.01'],,S,[],[],True,[],"['still', u'tether']",[],"['either', 'as']",THE,A
4557,data/parsed/22/wsj_2232.mrg|3|58,"Spurred by waves of large-scale buying in blue-chip stocks , the Dow Jones Industrial Average rallied yesterday and erased about [ a half ] of Friday 's 190.58-point plunge , gaining 88.12 to 2657.38 .",half,sg,NN,[u'common_fraction.n.01'],,NP,[],[],False,[],"['of', 'Friday']",[],"['erased', 'about']",THE,A
4571,data/parsed/22/wsj_2232.mrg|5|29,"While the advance cheered investors who feared [ a 1987-style crash ] would occur yesterday , it was strictly a big-stock rally fed by huge buying by bargain-hunting institutions and program traders .",crash,sg,NN,[u'noise.n.01'],,S,[],['JJ'],True,[],"['would', 'occur']",['1987-style'],"['who', u'fear']",THE,A
4589,data/parsed/22/wsj_2232.mrg|8|12,"Meanwhile , in [ a divergence ] in two of the market 's most important indicators , the Dow industrials ' sister average , the 20-stock Dow Jones Transportation Average , tumbled 102.06 to 1304.23 -- its second-worst decline next to the 164.78-point fall during the 1987 crash .",divergence,sg,NN,[u'separation.n.09'],,NP,[],[],False,[],"['in', 'two']",[],"[',', 'in']",THE,A
4831,data/parsed/22/wsj_2232.mrg|51|33,"Around him , scores of traders seemed to get [ a burst ] of energy ; their boss broke out bottles of Perrier water to cool them off .",burst,sg,NN,[u'change_of_integrity.n.01'],,NP,[],[],True,[],"['of', 'energy']",[],"['to', 'get']",THE,A
5030,data/parsed/22/wsj_2232.mrg|82|49,Mr. Phelan said that program trading strategies were n't responsible for triggering Friday 's decline despite [ a jump ] in the use of the computer-driven strategies in recent months .,jump,sg,NN,[u'increase.n.02'],,NP,[],[],False,[],['in'],[],"['decline', 'despite']",THE,A
5084,data/parsed/22/wsj_2232.mrg|88|96,"Meanwhile , Peter DaPuzzo , Shearson 's head of retail equity trading , praised institutional investors in the OTC market , who were heavy buyers of the Nasdaq 's biggest technology issues yesterday amid [ a flood ] of selling by other investors .",flood,sg,NN,[u'geological_phenomenon.n.01'],,NP,[],[],False,[],"['of', 'selling']",[],"['yesterday', 'amid']",THE,A
5133,data/parsed/22/wsj_2233.mrg|2|14,The anti-defense Greens wanted [ a Washington federal appeals court ] to block today 's scheduled liftoff long enough for them to ask the World Court to `` order '' a permanent cancellation of the $ 1.5 billion flight .,court,sg,NN,[u'assembly.n.04'],,S,[],"['NNP', 'JJ', 'NNS']",False,[],"['to', 'block']","['Washington', 'federal', u'appeal']","['Greens', u'want']",THE,A
