,_coordinates,_sent,a_head_form,a_head_number,a_head_pos,a_hypernyms,a_non_article_det,a_parent,a_pos_after_head,a_pos_before_head,a_referent,a_words_after_head,a_words_after_np,a_words_before_head,a_words_before_np,Y_PREDICTED,Y_TRUE
3773,data/parsed/22/wsj_2229.mrg|18|18,"The multibillion-dollar prospects , where [ the bidder ] must line up a consortium of banks and\\/or issue billions in high-yield debt , were where the damage was concentrated .",bidder,sg,NN,[u'applicant.n.01'],,S,[],[],False,[],"['must', 'line']",[],"[',', 'where']",A,THE
3827,data/parsed/22/wsj_2229.mrg|24|115,"Of course , Washington had n't been silent in the days leading up to the debacle , and its tendency to meddle in the leverage equation remains a troublesome prospect , but those preliminary steps should n't distract us from [ the basic market fundamentalism ] that was at work on Friday .",fundamentalism,sg,NN,[u'protestantism.n.01'],,NP,[],"['JJ', 'NN']",False,[],"['that', u'be']","['basic', 'market']","['us', 'from']",A,THE
3886,data/parsed/22/wsj_2229.mrg|33|44,"Yes , the broader exchanges got caught up in the spiral , but they rode [ the tiger ] up all year .",tiger,sg,NN,[u'person.n.01'],,VP,[],[],False,[],"['up', 'all']",[],"['they', u'ride']",A,THE
3922,data/parsed/22/wsj_2229.mrg|40|51,"Any such attempt to distinguish `` good debt '' from `` bad debt , '' or to draw [ the line ] at a particular industry , such as the airlines , is likely to blunt the spur that the proper amount of leverage provides both to equity markets and economic efficiency in general .",line,sg,NN,[u'formation.n.01'],,NP,[],[],False,[],['at'],[],"['to', 'draw']",A,THE
3949,data/parsed/22/wsj_2230.mrg|1|58,"Tokyo share prices rebounded Tuesday morning , with the Nikkei index of 225 selected stocks rising 618.69 points to close [ the morning session ] at 35087.38 .",session,sg,NN,[u'conference.n.03'],,VP,[],['NN'],False,[],"['at', '<number>']",['morning'],"['to', 'close']",A,THE
4108,data/parsed/22/wsj_2230.mrg|29|27,"Two years ago , Tokyo 's biggest fall came [ the day ] after New York 's 22.6 % Black Monday plunge , when the Nikkei average fell 14.9 % .",day,sg,NN,[u'time_unit.n.01'],,PP,[],[],False,[],"['after', 'New']",[],"['fall', u'come']",A,THE
4135,data/parsed/22/wsj_2230.mrg|33|22,"`` Now we are looking for [ the time ] to place buy orders , '' he said .",time,sg,NN,[u'case.n.01'],,NP,[],[],True,[],"['to', 'place']",[],"[u'look', 'for']",A,THE
4139,data/parsed/22/wsj_2230.mrg|34|18,"`` For us institutional investors , [ the chance ] for buying has come . ''",chance,sg,NN,[u'possibility.n.02'],,NP,[],[],False,[],"['for', 'buying']",[],"[u'investor', ',']",A,THE
4156,data/parsed/22/wsj_2230.mrg|37|54,"`` Unless there is a panic , this is the best time to buy , as was [ the case ] two years ago , '' he said .",case,sg,NN,[u'happening.n.01'],,VP,[],[],False,[],"['two', u'year']",[],"['as', u'be']",A,THE
4314,data/parsed/22/wsj_2230.mrg|60|126,"Nestor Hinzack , an analyst at brokerage firm Burdett , Buckeridge & Young Ltd. , described the market 's performance as `` sheep-like '' as investors fled to bluechip Australian stocks and shunned entrepreneurial companies they perceived as having any takeover premium built into [ the price . ]",price,sg,NN,[u'value.n.02'],,PP,['.'],[],False,['.'],[],[],"[u'build', 'into']",A,THE
4384,data/parsed/22/wsj_2231.mrg|3|28,What else is one to make of [ the whacky save-the-earth initiative ] just proposed by several major environmental groups and organized by the state 's attorney general ?,initiative,sg,NN,[u'drive.n.05'],,NP,[],"['JJ', 'NN']",False,[],"['just', u'propose']","['whacky', 'save-the-earth']","['make', 'of']",A,THE
4434,data/parsed/22/wsj_2231.mrg|14|36,"But if rational science and economics have nothing to do with [ the new environment initiative , ] what is going on ?",initiative,sg,NN,[u'drive.n.05'],,PP,"[',']","['JJ', 'NN']",True,"[',']","['what', u'be']","['new', 'environment']","['do', 'with']",A,THE
4452,data/parsed/22/wsj_2231.mrg|18|85,"Mr. Van de Kamp is the one who collected the plans from the various radical environmental groups and cobbled them into a single unwieldy initiative to be placed on [ the ballot ] for election on Nov. 6 , 1990 .",ballot,sg,NN,[u'document.n.01'],,NP,[],[],False,[],"['for', 'election']",[],"[u'place', 'on']",A,THE
4456,data/parsed/22/wsj_2231.mrg|19|13,That 's also [ the day ] of the gubernatorial election .,day,sg,NN,[u'time_unit.n.01'],,NP,[],[],False,[],['of'],[],"[""'s"", 'also']",A,THE
4466,data/parsed/22/wsj_2231.mrg|22|14,He can spend [ the legal maximum ] for his campaign ; all the spending for the Van de Kamp initiative -LRB- on which there are no limits -RRB- is gravy .,maximum,sg,NN,"[u'extremum.n.02', u'large_indefinite_quantity.n.01']",,NP,[],['JJ'],False,[],"['for', 'his']",['legal'],"['can', 'spend']",A,THE
4477,data/parsed/22/wsj_2231.mrg|24|6,"-LRB- [ The Republican candidate , ] Sen. Pete Wilson , is playing the initiative fundraising game too , sponsoring his own crime initiative . -RRB-",candidate,sg,NN,[u'politician.n.02'],,NP,"[',']",['JJ'],False,"[',']","['Sen.', 'Pete']",['Republican'],['-LRB-'],A,THE
4479,data/parsed/22/wsj_2231.mrg|24|30,"-LRB- The Republican candidate , Sen. Pete Wilson , is playing [ the initiative fundraising game ] too , sponsoring his own crime initiative . -RRB-",game,sg,NN,[u'activity.n.01'],,VP,[],"['NN', 'VBG']",False,[],"['too', ',']","['initiative', u'fundraise']","[u'be', u'play']",A,THE
4488,data/parsed/22/wsj_2231.mrg|26|11,This is [ the state ] that recently passed the Prop. 65 anti-toxic initiative .,state,sg,NN,[u'administrative_district.n.01'],,NP,[],[],False,[],"['that', 'recently']",[],"['This', u'be']",A,THE
4526,data/parsed/22/wsj_2231.mrg|32|47,"George Bush , for example , may decide that he does n't want to be [ the President ] who lost control of interstate commerce to an attorney general from California .",President,sg,NN,[u'corporate_executive.n.01'],,NP,[],[],False,[],"['who', u'lose']",[],"['to', 'be']",A,THE
4561,data/parsed/22/wsj_2232.mrg|4|9,"It was [ the fourth-biggest advance ] for the average of 30 blue chips , on frenetic New York Stock Exchange volume of 416,290,000 shares -- the highest since the days after the 1987 crash .",advance,sg,NN,[u'change_of_location.n.01'],,VP,[],['JJ'],False,[],['for'],['fourth-biggest'],"['It', u'be']",A,THE
4599,data/parsed/22/wsj_2232.mrg|8|104,"Meanwhile , in a divergence in two of the market 's most important indicators , the Dow industrials ' sister average , the 20-stock Dow Jones Transportation Average , tumbled 102.06 to 1304.23 -- its second-worst decline next to [ the 164.78-point fall ] during the 1987 crash .",fall,sg,NN,[u'season.n.02'],,PP,[],['JJ'],False,[],['during'],['164.78-point'],"['next', 'to']",A,THE
4639,data/parsed/22/wsj_2232.mrg|15|34,"The rally gave credence , at least for now , to [ the pre-trading declaration ] of Big Board Chairman John J. Phelan Jr. that Friday 's market debacle was `` an abnormal condition , and not a disaster . ''",declaration,sg,NN,[u'statement.n.01'],,NP,[],['JJ'],False,[],"['of', 'Big']",['pre-trading'],"[',', 'to']",A,THE
4657,data/parsed/22/wsj_2232.mrg|18|65,"But most of the 30 blue-chip stocks in the average , including Eastman Kodak and General Motors , could n't trade because of [ the heavy backlog ] of sell orders left over from Friday 's late-afternoon rout .",backlog,sg,NN,[u'collection.n.01'],,NP,[],['JJ'],False,[],"['of', 'sell']",['heavy'],"['because', 'of']",A,THE
4674,data/parsed/22/wsj_2232.mrg|21|14,"More stocks opened over [ the ensuing half hour , ] as the 49 Big Board specialist firms in charge of keeping the market orderly groped to find buy orders from major brokerage firms to match the selling flood .",hour,sg,NN,[u'time_unit.n.01'],,VP,"[',']","['VBG', 'JJ']",False,"[',']",['as'],"[u'ensue', 'half']","[u'open', 'over']",A,THE
4887,data/parsed/22/wsj_2232.mrg|60|153,"James Gallagher , a partner at specialist Fowler & Rosenau , said , `` The difference between today and two years ago '' -- `` Terrible Tuesday , '' Oct. 20 , 1987 -- `` is that then we needed a savior to go into the Major Market Index , spend $ 2 million and get [ the program rally ] started .",rally,sg,NN,[u'gathering.n.01'],,NP,[],['NN'],True,[],"[u'start', '.']",['program'],"['and', 'get']",A,THE
4955,data/parsed/22/wsj_2232.mrg|72|10,"And yesterday , [ the top performing industry group ] was oil field equipment issues .",group,sg,NN,[u'abstraction.n.06'],,S,[],"['JJ', 'VBG', 'NN']",False,[],"[u'be', 'oil']","['top', u'perform', 'industry']","['yesterday', ',']",A,THE
5128,data/parsed/22/wsj_2233.mrg|1|44,West Germany 's Green Party joined its ideological soulmates Jeremy Rifkin and the Christic Institute in [ the legal battle ] to ground the Atlantis shuttle and its plutonium-powered Galileo probe to Jupiter .,battle,sg,NN,[u'military_action.n.01'],,NP,[],['JJ'],False,[],"['to', u'grind']",['legal'],"['Institute', 'in']",A,THE
5168,data/parsed/22/wsj_2234.mrg|3|4,"[ The exemption ] allowed on longer flights to Alaska and Hawaii appears to be largely a face-saving concession for the traditionally powerful tobacco industry , which has found itself increasingly isolated in the face of public pressure in recent years .",exemption,sg,NN,[u'unsusceptibility.n.01'],,NP,[],[],False,[],"[u'allow', 'on']",[],[],A,THE
5233,data/parsed/22/wsj_2234.mrg|11|87,"Majority Whip William Gray owes a political debt to Southern agriculture lawmakers for his rise in the House , and the Philadelphia Democrat used his position in the conference to salvage [ the exemption ] from a total ban .",exemption,sg,NN,[u'unsusceptibility.n.01'],,NP,[],[],False,[],['from'],[],"['to', 'salvage']",A,THE
5346,data/parsed/22/wsj_2234.mrg|26|17,"Among rail and highway accounts , [ the agreement ] provides $ 615 million for Amtrak , including $ 85 million for capital improvements .",agreement,sg,NN,[u'statement.n.01'],,S,[],[],False,[],"[u'provide', '$']",[],"[u'account', ',']",A,THE
5472,data/parsed/22/wsj_2237.mrg|5|54,"It is the vast shadow government of 15,000 congressional staffers that helps create such legislative atrocities as [ the 1,376 page , 13-pound reconciliation bill ] that claimed to be the budget of the United States .",bill,sg,NN,[u'legal_document.n.01'],,NP,[],"['CD', 'NN', ',', 'JJ', 'NN']",False,[],"['that', u'claim']","['1,376', 'page', ',', '13-pound', 'reconciliation']","[u'atrocity', 'as']",A,THE
5526,data/parsed/22/wsj_2239.mrg|1|5,[ The sudden `` flight ] to quality '' that triggered Friday 's explosive bond-market rally was reversed yesterday in a `` flight from quality '' rout .,flight,sg,NN,[u'formation.n.01'],,NP,[],"['JJ', '``']",False,[],"['to', 'quality']","['sudden', '``']",[],A,THE
5555,data/parsed/22/wsj_2239.mrg|6|36,Some fixed-income investors had expected a further drop in stock prices after [ the nearly 200-point drop ] in the Dow Jones Industrial Average on Friday .,drop,sg,NN,[u'sphere.n.05'],,NP,[],"['RB', 'JJ']",False,[],['in'],"['nearly', '200-point']","[u'price', 'after']",A,THE
5622,data/parsed/22/wsj_2239.mrg|20|4,"[ The bond-equivalent yield ] on three-month Treasury bills , for example , was quoted late yesterday at 7.72 % , compared with 7.16 % Friday .",yield,sg,NN,[u'production.n.07'],,NP,[],['JJ'],False,[],"['on', 'three-month']",['bond-equivalent'],[],A,THE
5758,data/parsed/22/wsj_2239.mrg|44|31,"Resolution Funding is a division of Resolution Trust Corp. , [ the new federal agency ] created to bail out the nation 's troubled thrifts .",agency,sg,NN,[u'administrative_unit.n.01'],,NP,[],"['JJ', 'JJ']",True,[],"[u'create', 'to']","['new', 'federal']","['Corp.', ',']",A,THE
