|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
1031|A|"data/parsed/22/wsj_2205.mrg|27|36"|`` Because Tokyo did n't collapse , let 's pick up [ a little stock , '' ] Mr. Smith said .|stock|sg|NN|[u'capital.n.01']||VP|"[',', ""''""]"|['JJ']|True|"[',', ""''""]"|['Mr.', 'Smith']|['little']|['pick', 'up']|NN|False|False|False|0|False|||pick|True|0.6875|ZERO|A
1067|A|"data/parsed/22/wsj_2205.mrg|34|46"|By this time , it was 4:30 a.m. in New York , and Mr. Smith fielded [ a call ] from a New York customer wanting an opinion on the British stock market , which had been having troubles of its own even before Friday 's New York market break .|call|sg|NN|[u'telephone.n.02']||VP|[]|[]|False|[]|['from']|[]|['Smith', u'field']|NN|False|False|False|0|False|||fielded|False|0.333333333333|ZERO|A
1069|A|"data/parsed/22/wsj_2205.mrg|34|68"|By this time , it was 4:30 a.m. in New York , and Mr. Smith fielded a call from a New York customer wanting [ an opinion ] on the British stock market , which had been having troubles of its own even before Friday 's New York market break .|opinion|sg|NN|[u'belief.n.01']||NP|[]|[]|False|[]|['on']|[]|['customer', u'want']|NN|False|True|False|23|False|PP|on|fielded|False|0.5|ZERO|A
1182|A|"data/parsed/22/wsj_2206.mrg|1|50"|Ambassador Paul Nitze 's statement -LRB- Notable & Quotable , Sept. 20 -RRB- , `` If you have [ a million people ] working for you , every bad thing that has one chance in a million of going wrong will go wrong at least once a year , '' is a pretty negative way of looking at things .|people|pl|NN|[u'group.n.01']||NP|[]|['CD']|False|[]|[u'work', 'for']|['million']|['you', 'have']|NN|False|True|False|4|False|VP|working|have|False|0.321428571429|ZERO|A
1186|A|"data/parsed/22/wsj_2206.mrg|1|94"|Ambassador Paul Nitze 's statement -LRB- Notable & Quotable , Sept. 20 -RRB- , `` If you have a million people working for you , every bad thing that has one chance in [ a million ] of going wrong will go wrong at least once a year , '' is a pretty negative way of looking at things .|million||CD|[u'large_integer.n.01']||NP|[]|[]|False|[]|['of', u'go']|[]|['chance', 'in']|CD|False|True|False|3|True|PP|of|has||0.578947368421|ZERO|A
1192|A|"data/parsed/22/wsj_2206.mrg|2|39"|Is n't it just as fair to say that if you have [ a million people ] working for you , every good thing that has one chance in a million of going right will go right at least once a year ?|people|pl|NN|[u'group.n.01']||NP|[]|['CD']|True|[]|[u'work', 'for']|['million']|['you', 'have']|NN|False|True|False|4|False|VP|working|have|True|0.307692307692|ZERO|A
1196|A|"data/parsed/22/wsj_2206.mrg|2|83"|Is n't it just as fair to say that if you have a million people working for you , every good thing that has one chance in [ a million ] of going right will go right at least once a year ?|million||CD|[u'large_integer.n.01']||NP|[]|[]|True|[]|['of', u'go']|[]|['chance', 'in']|CD|False|True|False|3|True|PP|of|has||0.675|ZERO|A
1268|A|"data/parsed/22/wsj_2207.mrg|9|39"|Mr. Oberstar and other committee members repeatedly stressed that the legislation was n't [ a response ] to any particular market situation .|response|sg|NN|[u'consequence.n.01']||NP|[]|[]|False|[]|['to', 'any']|[]|"[u'be', ""n't""]"|NN|False|True|False|6|False|PP|to|was|False|0.65|ZERO|A
1333|A|"data/parsed/22/wsj_2207.mrg|18|144"|The bill would allow the secretary to reject a buy-out if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in size of the airline through disposal of assets , or give control to [ a foreign interest . ]|interest|sg|NN|[u'curiosity.n.01']||PP|['.']|['JJ']|False|['.']|[]|['foreign']|['control', 'to']|NN|False|False|False|0|False|||to|False|0.98|ZERO|A
1437|A|"data/parsed/22/wsj_2209.mrg|1|14"|DPC Acquisition Partners , [ a hostile suitor ] for Dataproducts Corp. , said it intends to launch a tender offer for the computer printer maker 's common stock .|suitor|sg|NN|[u'admirer.n.03']||NP|[]|['NN']|False|[]|['for', 'Dataproducts']|['hostile']|['Partners', ',']|NN|False|True|False|4|False|PP|for|said|False|0.153846153846|ZERO|A
1449|A|"data/parsed/22/wsj_2209.mrg|2|82"|DPC , a group led by the New York investment firm Crescott Inc. , also said it plans to file preliminary materials with the Securities and Exchange Commission regarding [ a shareholder solicitation ] to oust Dataproducts ' board .|solicitation|sg|NN|[u'entreaty.n.01']||NP|[]|['NN']|False|[]|['to', 'oust']|['shareholder']|['Commission', u'regard']|NN|False|True|False|6|False|S|to|to|False|0.805555555556|ZERO|A
1455|A|"data/parsed/22/wsj_2209.mrg|3|34"|DPC holds a 7.8 % stake in Dataproducts and made [ a $ 15-a-share bid ] for the company in May , but Dataproducts management considered the $ 283.7 million proposal unacceptable .|bid|sg|NN|[u'speech_act.n.01']||NP|[]|['$', 'JJ']|False|[]|['for']|['$', '15-a-share']|['and', u'make']|NN|False|True|False|3|False|PP|for|holds|False|0.357142857143|ZERO|A
1575|A|"data/parsed/22/wsj_2210.mrg|16|59"|By comparison , two years ago on Black Monday , the new index would have dropped 9.4 % , according to [ a projection ] by the exchange .|projection|sg|NN|[u'prediction.n.01']||NP|[]|[]|False|[]|['by']|[]|[u'accord', 'to']|NN|False|True|False|4|False|PP|by|would|False|0.807692307692|ZERO|A
1593|A|"data/parsed/22/wsj_2210.mrg|19|42"|`` They all went in the wrong direction , '' said Andreas Insam , [ an investment adviser ] for the Bank in Liechtenstein 's Frankfurt branch .|adviser|sg|NN|[u'authority.n.03']||NP|[]|['NN']|False|[]|['for']|['investment']|['Insam', ',']|NN|False|True|False|9|False|PP|for||False|0.583333333333|ZERO|A
1632|A|"data/parsed/22/wsj_2210.mrg|26|22"|That is why everybody was [ a little ] surprised by the storm of sell orders from small private investors , '' said Norbert Braeuer , a senior trader for Hessische Landesbank .|little||RB|[u'small_indefinite_quantity.n.01']||ADJP|[]|[]|False|[]|['surprised', 'by']|[]|['everybody', u'be']|RB|False|False|False|0|False|||was|False|0.166666666667|ZERO|A
1637|A|"data/parsed/22/wsj_2210.mrg|26|73"|That is why everybody was a little surprised by the storm of sell orders from small private investors , '' said Norbert Braeuer , [ a senior trader ] for Hessische Landesbank .|trader|sg|NN|[u'merchant.n.01']||NP|[]|['JJ']|False|[]|['for', 'Hessische']|['senior']|['Braeuer', ',']|NN|False|True|False|4|False|PP|for||False|0.827586206897|ZERO|A
1722|A|"data/parsed/22/wsj_2210.mrg|40|18"|Late buying gave the Paris Bourse [ a parachute ] after its free fall early in the day .|parachute|sg|NN|[u'rescue_equipment.n.01']||VP|[]|[]|False|[]|['after', 'its']|[]|['Paris', 'Bourse']|NN|False|False|False|0|False|||gave|False|0.375|ZERO|A
1732|A|"data/parsed/22/wsj_2210.mrg|42|13"|`` There was [ a volatility ] in the market that I have never seen before , '' said Michel Vigier , a partner in brokerage firm Cholet Dupont .|volatility|sg|NN|[u'chemical_property.n.01']||NP|[]|[]|False|[]|['in']|[]|['There', u'be']|NN|False|True|False|3|False|PP|in|was|False|0.111111111111|ZERO|A
2007|A|"data/parsed/22/wsj_2211.mrg|39|44"|As a result , Security Pacific 's net interest margin fell only 13 basis points , [ a more mild decrease ] than some major banks outside California , which have been reporting more sluggish earnings .|decrease|sg|NN|[u'change.n.01']||NP|[]|['JJR', 'JJ']|True|[]|['than', 'some']|['more', 'mild']|[u'point', ',']|NN|False|True|False|7|False|PP|than|fell|True|0.5|ZERO|A
2098|A|"data/parsed/22/wsj_2212.mrg|5|46"|BellSouth has notified LIN that it would `` shortly respond to the McCaw proposal in [ as full and effective a manner ] as is warranted . ''|manner|sg|NN|[u'property.n.02']||PP|[]|['RB', 'JJ', 'CC', 'JJ']|False|[]|['as', u'be']|['as', 'full', 'and', 'effective']|['proposal', 'in']|NN|False|False|False|0|False|||would|False|0.714285714286|ZERO|A
2294|A|"data/parsed/22/wsj_2215.mrg|5|20"|The guy who throws [ an intercept ] 'Cause his receiver slips Should somehow be advised that we At home can read his lips .|intercept||JJ|[u'point.n.01']||NP|[]|[]|False|[]|"[""'Cause"", 'his']"|[]|['who', u'throw']|JJ|False|True|False|1|False|CC|'Cause|slips||0.181818181818|ZERO|A
2356|A|"data/parsed/22/wsj_2216.mrg|6|89"|Also under the agreement , debenture holders will get one million shares of common stock in exchange for $ 7.7 million in debentures and holders of BancOklahoma 's series [ A preferred stock ] will receive 1.25 shares of common stock for every share of preferred they own , the company said S .|stock|sg|NN|[u'capital.n.01']||S|[]|['VBN']|True|[]|['will', 'receive']|[u'prefer']|"[""'s"", 'series']"|NN|False|False|False|0|False|||will|True|0.58|ZERO|A
2656|A|"data/parsed/22/wsj_2222.mrg|5|119"|The New York Stock Exchange adopted two specific circuit breakers : If the Dow Jones index falls 250 points in a day , the exchange will halt trading for one hour ; if the decline hits 400 points , the exchange will close for [ an additional two hours . ]|hour|pl|NN|[u'work_time.n.01']||PP|['.']|['JJ', 'CD']|False|['.']|[]|['additional', 'two']|['close', 'for']|NN|False|False|False|0|False|||will|True|0.977777777778|ZERO|A
2670|A|"data/parsed/22/wsj_2222.mrg|8|26"|A temporary cessation of trading may indeed discourage [ a selling panic ] from feeding on itself .|panic|sg|NN|[u'fear.n.01']||VP|[]|['NN']|True|[]|['from', u'feed']|['selling']|['indeed', 'discourage']|NN|False|False|False|0|False|||may|True|0.571428571429|ZERO|A
2711|A|"data/parsed/22/wsj_2222.mrg|18|50"|Futures trading , however , was halted altogether at 3:45 , after the futures markets had dropped [ an additional 30 points , ] which is the daily limit for price declines .|point|pl|NN|[u'component.n.01']||NP|[',']|['JJ', 'CD']|False|[',']|['which', u'be']|['additional', '<number>']|[u'have', u'drop']|NN|False|True|False|9|False|SBAR|which|had|False|0.62962962963|ZERO|A
2865|A|"data/parsed/22/wsj_2223.mrg|7|7"|CLUBBING [ A FAN ] was n't the Baltimore Orioles ' fault .|FAN|sg|NNP|[u'device.n.01']||VP|[]|[]|False|[]|"[u'be', ""n't""]"|[]|['CLUBBING']|NN|True|False|False|0|False|||CLUBBING||0.1|ZERO|A
2876|A|"data/parsed/22/wsj_2223.mrg|9|17"|The players were heckled by [ a patron ] during a July 4 , 1988 , game with the Martinsville Phillies .|patron|sg|NN|[u'customer.n.01']||PP|[]|[]|False|[]|['during']|[]|[u'heckle', 'by']|NN|False|False|False|0|False|||were|False|0.263157894737|ZERO|A
2877|A|"data/parsed/22/wsj_2223.mrg|9|26"|The players were heckled by a patron during [ a July 4 , 1988 , ] game with the Martinsville Phillies .|July|sg|NNP|[u'gregorian_calendar_month.n.01']||NP|['CD', ',', 'CD', ',']|[]|False|['<number>', ',', '<number>', ',']|['game', 'with']|[]|['patron', 'during']|NN|True|True|False|6|False|NP|game|were||0.533333333333|ZERO|A
2958|A|"data/parsed/22/wsj_2223.mrg|23|53"|TREATING EMPLOYEES with respect is crucial for managers , says S consultant Hay Group after surveys of [ a million workers . ]|worker|pl|NN|[u'person.n.01']||PP|['.']|['CD']|False|['.']|[]|['million']|[u'survey', 'of']|NN|False|False|False|0|False||||False|0.944444444444|ZERO|A
3216|A|"data/parsed/22/wsj_2225.mrg|13|42"|He says the test is continuing in Chicago , Columbus , Ohio , and [ a few other cities . ]|city|pl|NN|[u'municipality.n.01']||NP|['.']|['JJ', 'JJ']|False|['.']|[]|['few', 'other']|[',', 'and']|NN|False|False|False|0|False|||is|False|0.933333333333|ZERO|A
3262|A|"data/parsed/22/wsj_2225.mrg|25|54"|Its radio series features such spots as `` Floodlights : Evening Wear for Urban Structures '' and `` Building [ a Place ] to Park . ''|Place|sg|NN|[u'point.n.02']||VP|[]|[]|False|[]|['to', 'Park']|[]|['``', 'Building']|NN|False|False|False|0|False|||Evening|False|0.791666666667|ZERO|A
3434|A|"data/parsed/22/wsj_2227.mrg|3|38"|Kent Colton , NAHB executive vice president , argues that the U.S. faces [ a multifaceted housing crisis -- ] reduced affordability of homes for first-time buyers , increased homelessness , and lower apartment construction rates -- that will be `` very difficult '' to solve `` without expanded federal resources . ''|crisis|sg|NN|[u'situation.n.03']||NP|[':']|['JJ', 'NN']|False|['--']|['reduced', 'affordability']|['multifaceted', 'housing']|['U.S.', u'face']|NN|False|True|False|8|False|NP|reduced|faces|False|0.276595744681|ZERO|A
3490|A|"data/parsed/22/wsj_2227.mrg|14|15"|The association is pushing [ an extensive and expensive wish-list , ] which would substantially boost spending above the current level of more than $ 15 billion annually .|wish-list|sg|NN|||NP|[',']|['JJ', 'CC', 'JJ']|False|[',']|['which', 'would']|['extensive', 'and', 'expensive']|[u'be', u'push']|NN|False|True|False|17|False|SBAR|which|is|False|0.181818181818|ZERO|A
3517|A|"data/parsed/22/wsj_2227.mrg|17|140"|Though Mr. Colton says expanding FHA lending would result in `` no cost to the government , '' the mere diversion of funds from other parts of the economy and from other forms of housing -LRB- such as low-income -RRB- to the single-family home market would result in [ a major expense . ]|expense|sg|NN|[u'cost.n.01']||PP|['.']|['JJ']|False|['.']|[]|['major']|['result', 'in']|NN|False|False|False|0|False|||would|False|0.979591836735|ZERO|A
3537|A|"data/parsed/22/wsj_2227.mrg|20|80"|The federal government has had to pump in $ 2.28 billion into the VA housing program since 1984 to keep the fund afloat and the VA requested [ an additional $ 120 million ] for the fiscal year just ended .|$||QP|||NP|[]|['JJ']|True|[]|['for']|['additional']|['VA', u'request']|QP|False|True|False|7|False|PP|for|requested||0.771428571429|ZERO|A
3626|A|"data/parsed/22/wsj_2228.mrg|1|75"|In an attempt to give new momentum to European Community plans for a single currency , EC government leaders are likely to agree to set [ a date ] for starting formal talks on amending the EC 's founding Treaty of Rome .|date|sg|NN|[u'day.n.01']||NP|[]|[]|False|[]|['for', u'start']|[]|['to', 'set']|NN|False|True|False|14|False|PP|for|to|False|0.625|ZERO|A
3649|A|"data/parsed/22/wsj_2228.mrg|5|7"|Setting [ a date ] to start treaty negotiations has no legal significance in itself , but could be viewed as an important psychological push .|date|sg|NN|[u'day.n.01']||VP|[]|[]|True|[]|['to', 'start']|[]|['Setting']|NN|False|False|False|0|False|||Setting|True|0.0434782608696|ZERO|A
3655|A|"data/parsed/22/wsj_2228.mrg|6|24"|French President Francois Mitterrand fought to set [ a date ] for the conference during the EC summit in Madrid last June , but the move was scuttled because of opposition by Mrs. Thatcher and West German Chancellor Helmut Kohl .|date|sg|NN|[u'day.n.01']||NP|[]|[]|True|[]|['for']|[]|['to', 'set']|NN|False|True|False|3|False|PP|for|to|True|0.184210526316|ZERO|A
3666|A|"data/parsed/22/wsj_2228.mrg|7|35"|Diplomatic sources said Mr. Kohl may now agree to set [ a date ] for the conference to make it clear that West Germany is still committed to EC unity .|date|sg|NN|[u'day.n.01']||NP|[]|[]|True|[]|['for']|[]|['to', 'set']|NN|False|True|False|17|False|PP|for|to|True|0.357142857143|ZERO|A
3705|A|"data/parsed/22/wsj_2229.mrg|7|81"|Although the union-bidder expects to patch together a substitute offer , consisting of less cash , the failure to get cash from Japanese and American banks confirmed [ a growing fear ] among arbitragers that the pageant of high-leverage takeover deals is ending .|fear|sg|NN|[u'emotion.n.01']||NP|[]|['VBG']|False|[]|['among', u'arbitrager']|[u'grow']|[u'bank', u'confirm']|NN|False|True|False|2|False|PP|among|confirmed|False|0.675|ZERO|A
4128|A|"data/parsed/22/wsj_2230.mrg|32|12"|Nobuto Yasuda , [ a director ] at Yamaichi Investment Trust & Management Co. , called yesterday 's session `` a good scenario '' for Japan .|director|sg|NN|[u'administrator.n.01']||NP|[]|[]|False|[]|['at', 'Yamaichi']|[]|['Yasuda', ',']|NN|False|True|False|8|False|PP|at|called|False|0.125|ZERO|A
4153|A|"data/parsed/22/wsj_2230.mrg|37|16"|`` Unless there is [ a panic , ] this is the best time to buy , as was the case two years ago , '' he said .|panic|sg|NN|[u'fear.n.01']||VP|[',']|[]|False|[',']|['this', u'be']|[]|['there', u'be']|NN|False|False|False|0|False|||is|False|0.16|ZERO|A
4280|A|"data/parsed/22/wsj_2230.mrg|56|12"|Richard Chenevix-Trench , [ a director ] at Hong Kong-based Baring International Fund Managers Ltd. , said the market probably has n't hit bottom yet but is close .|director|sg|NN|[u'administrator.n.01']||NP|[]|[]|False|[]|['at', 'Hong']|[]|['Chenevix-Trench', ',']|NN|False|True|False|9|False|PP|at|said|False|0.115384615385|ZERO|A
4397|A|"data/parsed/22/wsj_2231.mrg|4|99"|The initiative is based largely on the wish-lists of the green lobby : the Sierra Club , the League of Conservation Voters , the Natural Resources Defense Council , the National Toxics Campaign and the Citizens for [ a Better Environment . ]|Environment|sg|NNP|[u'situation.n.01']||PP|['.']|['NNP']|False|['.']|[]|['Better']|['Citizens', 'for']|NN|True|False|False|0|False|||is||0.973684210526|ZERO|A
4551|A|"data/parsed/22/wsj_2232.mrg|1|14"|First , there was [ a death watch . ]|watch|sg|NN|[u'timepiece.n.01']||VP|['.']|['NN']|False|['.']|[]|['death']|['there', u'be']|NN|False|False|False|0|False|||was|False|0.8|ZERO|A
4578|A|"data/parsed/22/wsj_2232.mrg|6|5"|[ A troubling sign : Declining stocks ] on the Big Board outnumbered advancers , 975 to 749 , and the over-the-counter market that includes many smaller stocks suffered aftershocks of Friday 's late Big Board plunge .|stock|pl|NN|[u'framework.n.03']||NP|[]|['JJ', 'NN', ':', 'VBG']|True|[]|['on']|['troubling', 'sign', ':', 'Declining']|[]|NN|False|True|False|4|False|PP|on|outnumbered|True|0.0|ZERO|A
4631|A|"data/parsed/22/wsj_2232.mrg|13|9"|It 's [ just a strange feeling . ]|feeling|sg|NN|[u'state.n.02']||VP|['.']|['RB', 'JJ']|False|['.']|[]|['just', 'strange']|"['It', ""'s""]"|NN|False|False|False|0|False|||'s|False|0.666666666667|ZERO|A
4643|A|"data/parsed/22/wsj_2232.mrg|15|78"|The rally gave credence , at least for now , to the pre-trading declaration of Big Board Chairman John J. Phelan Jr. that Friday 's market debacle was `` [ an abnormal condition , ] and not a disaster . ''|condition|sg|NN|[u'state.n.02']||VP|[',']|['JJ']|False|[',']|['and', 'not']|['abnormal']|[u'be', '``']|NN|False|False|False|0|False|||was|False|0.805555555556|ZERO|A
4694|A|"data/parsed/22/wsj_2232.mrg|24|10"|This was [ a hangover ] from Friday , when Standard & Poor 's 500-stock index futures had closed at a sharp discount to stocks .|hangover|sg|NN|[u'discomfort.n.01']||NP|[]|[]|False|[]|['from', 'Friday']|[]|['This', u'be']|NN|False|True|False|20|False|PP|from|was|False|0.0869565217391|ZERO|A
4822|A|"data/parsed/22/wsj_2232.mrg|50|15"|Grinned Griffith Peck , [ a trader ] in Shearson Lehman Hutton Inc. 's OTC department : `` I tell you , this market acts healthy . ''|trader|sg|NN|[u'merchant.n.01']||NP|[]|[]|True|[]|['in', 'Shearson']|[]|['Peck', ',']|NN|False|True|False|10|False|PP|in|tell|True|0.16|ZERO|A
4893|A|"data/parsed/22/wsj_2232.mrg|62|49"|Then when the market was at a technical level to buy , they came in with [ a vengeance . '' ]|vengeance|sg|NN|[u'retaliation.n.01']||PP|"['.', ""''""]"|[]|False|"['.', ""''""]"|[]|[]|['in', 'with']|NN|False|False|False|0|False|||came|False|0.941176470588|ZERO|A
5012|A|"data/parsed/22/wsj_2232.mrg|80|15"|Federal National Mortgage Association , [ a recently hot stock , ] climbed 4 to 124 on nearly 1.6 million shares .|stock|sg|NN|[u'capital.n.01']||NP|[',']|['RB', 'JJ']|False|[',']|[u'climb', '<number>']|['recently', 'hot']|['Association', ',']|NN|False|False|False|0|False|||climbed|False|0.3125|ZERO|A
5178|A|"data/parsed/22/wsj_2234.mrg|4|6"|By [ a 6-4 margin , ] House negotiators initially rejected last night a Senate provision covering all domestic flights .|margin|sg|NN|[u'boundary.n.02']||PP|[',']|['JJ']|False|[',']|['House', u'negotiator']|['6-4']|['By']|NN|False|False|False|0|False|||rejected|False|0.0625|ZERO|A
5203|A|"data/parsed/22/wsj_2234.mrg|7|77"|Within the Senate , the ban has had aggressive support from Sen. Frank Lautenberg -LRB- D. , N.J. -RRB- , who has used his position as [ a Senate Appropriations subcommittee chairman ] to garner votes for the initiative .|chairman|sg|NN|[u'presiding_officer.n.01']||PP|[]|['NNP', 'NNPS', 'NN']|False|[]|['to', 'garner']|['Senate', 'Appropriations', 'subcommittee']|['position', 'as']|NN|False|False|False|0|False|||has|False|0.764705882353|ZERO|A
5226|A|"data/parsed/22/wsj_2234.mrg|11|16"|Majority Whip William Gray owes [ a political debt ] to Southern agriculture lawmakers for his rise in the House , and the Philadelphia Democrat used his position in the conference to salvage the exemption from a total ban .|debt|sg|NN|[u'indebtedness.n.01']||VP|[]|['JJ']|False|[]|['to', 'Southern']|['political']|['Gray', u'owe']|NN|False|False|False|0|False|||owes|False|0.138888888889|ZERO|A
5263|A|"data/parsed/22/wsj_2234.mrg|15|17"|`` But if you make [ a request , ] you should support the committee . ''|request|sg|NN|[u'message.n.02']||VP|[',']|[]|False|[',']|['you', 'should']|[]|['you', 'make']|NN|False|False|False|0|False|||make|False|0.384615384615|ZERO|A
5467|A|"data/parsed/22/wsj_2237.mrg|4|30"|The Poles might do better to view it as [ a Trojan Horse . ]|Horse|sg|NNP|[u'equine.n.01']||PP|['.']|['NNP']|False|['.']|[]|['Trojan']|['it', 'as']|NN|True|False|False|0|False|||to||0.9|ZERO|A
5661|A|"data/parsed/22/wsj_2239.mrg|26|79"|`` I think the willingness of securities companies to make markets for high-yield issues improved the sentiment for junk bonds , '' said John Lonski , [ an economist ] at Moody 's Investors Service Inc .|economist|sg|NN|[u'social_scientist.n.01']||NP|[]|[]|False|[]|['at', 'Moody']|[]|['Lonski', ',']|NN|False|True|False|7|False|PP|at||False|0.764705882353|ZERO|A
