|Y_article|_coordinates|_sent|a_head_form|a_head_number|a_head_pos|a_hypernyms|a_non_article_det|a_parent|a_pos_after_head|a_pos_before_head|a_referent|a_words_after_head|a_words_after_np|a_words_before_head|a_words_before_np|b_head_pos_simple|b_head_proper|b_is_postmodified|b_non_article_det_extended|b_postmodification_length|b_postmodification_pp_of|b_postmodification_type|b_postmodification_type_specific|b_predicate_form|b_referent|b_relative_position|Y_PREDICTED|Y_TRUE
330|A|"data/parsed/22/wsj_2201.mrg|40|9"|But in [ a meeting ] after the market closed yesterday , Shearson executives decided not to go ahead with the stock-market ad .|meeting|sg|NN|[u'gathering.n.01']||NP|[]|[]|False|[]|['after']|[]|['But', 'in']|NN|False|True|False|6|False|SBAR|after|decided|False|0.0952380952381|THE|A
353|A|"data/parsed/22/wsj_2201.mrg|45|15"|In 1987 , despite [ a barrage ] of ads from most of the major investment firms , individuals ran from the market en masse .|barrage|sg|NN|[u'language.n.01']||NP|[]|[]|False|[]|['of', u'ad']|[]|[',', 'despite']|NN|False|True|False|2|True|PP|of|ran|False|0.173913043478|THE|A
429|A|"data/parsed/22/wsj_2202.mrg|2|91"|It 's what 1 -RRB- explains why we are like , well , ourselves rather than Bo Jackson ; 2 -RRB- cautions that it 's possible to drown in [ a lake ] that averages two feet deep ; and 3 -RRB- predicts that 10,000 monkeys placed before 10,000 pianos would produce 1,118 publishable rock 'n' roll tunes .|lake|sg|NN|[u'body_of_water.n.01']||PP|[]|[]|False|[]|['that', u'average']|[]|['drown', 'in']|NN|False|False|False|0|False|||to|False|0.517857142857|THE|A
451|A|"data/parsed/22/wsj_2202.mrg|5|17"|In game two , on [ a cool Sunday evening ] in this land of perpetual autumn , a lot of the catching up was done by the A 's catcher , Terry Steinbach .|evening|sg|NN|[u'day.n.04']||NP|[]|['JJ', 'NNP']|False|[]|['in', 'this']|['cool', 'Sunday']|[',', 'on']|NN|False|True|False|7|False|PP|in|was|False|0.166666666667|THE|A
460|A|"data/parsed/22/wsj_2202.mrg|6|9"|He hit [ a 2-0 pitch ] from Rick Reuschel into the left-field stands in inning four to stretch his team 's lead from 2-1 to a decisive 5-1 , where it stayed .|pitch|sg|NN|[u'sound_property.n.01']||VP|[]|['CD']|False|[]|['from', 'Rick']|['2-0']|['He', 'hit']|NN|False|False|False|0|False|||hit|False|0.0666666666667|THE|A
505|A|"data/parsed/22/wsj_2202.mrg|11|85"|The A-men batting Nos. 6 through 9 , a.k.a. the `` bottom of the order , '' got seven of their team 's 11 hits and scored four of its runs in [ a 5-0 decision . ]|decision|sg|NN|[u'choice.n.02']||PP|['.']|['JJ']|False|['.']|[]|['5-0']|[u'run', 'in']|NN|False|False|False|0|False|||got|False|0.969696969697|THE|A
516|A|"data/parsed/22/wsj_2202.mrg|13|43"|That he was the A 's winningest pitcher during its American League campaign with [ a 21-9 mark , ] plus two wins over Toronto in the playoffs , indicates he may have some evening up coming , but with the way his split-fingered fastball is behaving , that might not be this week .|mark|sg|NN|[u'evaluation.n.02']||NP|[',']|['JJ']|False|[',']|['plus', 'two']|['21-9']|['campaign', 'with']|NN|False|True|False|1|False|CC|plus|was|False|0.28|THE|A
531|A|"data/parsed/22/wsj_2202.mrg|14|56"|The same goes for Mike Moore , another veteran who overcame early struggles to permit the Giants but [ a run ] and four hits in seven innings in Sunday 's contest .|run|sg|NN|[u'score.n.10']||NP|[]|[]|True|[]|['and', 'four']|[]|['Giants', 'but']|NN|False|True|False|1|False|CC|and|goes|True|0.6|THE|A
542|A|"data/parsed/22/wsj_2202.mrg|16|10"|He 's [ an ex-hurler ] who 's one of the leading gurus of the fashionable delivery , which looks like a fastball until it dives beneath the lunging bat .|ex-hurler|sg|NN|||NP|[]|[]|False|[]|"['who', ""'s""]"|[]|"['He', ""'s""]"|NN|False|True|False|25|False|SBAR|who|'s|False|0.0714285714286|THE|A
546|A|"data/parsed/22/wsj_2202.mrg|16|61"|He 's an ex-hurler who 's one of the leading gurus of the fashionable delivery , which looks like [ a fastball ] until it dives beneath the lunging bat .|fastball|sg|NN|[u'pitch.n.02']||PP|[]|[]|True|[]|['until', 'it']|[]|[u'look', 'like']|NN|False|False|False|0|False|||looks|True|0.678571428571|THE|A
567|A|"data/parsed/22/wsj_2202.mrg|19|11"|That 's not [ an average ] to soothe Giant rooters .|average|sg|NN|[u'statistic.n.01']||VP|[]|[]|False|[]|['to', 'soothe']|[]|"[""'s"", 'not']"|NN|False|False|False|0|False|||'s|False|0.333333333333|THE|A
592|A|"data/parsed/22/wsj_2202.mrg|22|3"|[ A few folks ] even showed up wearing caps bearing the colors and emblems of both teams .|folk|pl|NN|[u'kin.n.02']||S|[]|['JJ']|False|[]|['even', u'show']|['few']|[]|NN|False|False|False|0|False|||showed|False|0.0|THE|A
613|A|"data/parsed/22/wsj_2202.mrg|26|12"|The above represents [ a triumph ] of either apathy or civility .|triumph|sg|NN|[u'ending.n.04', u'success.n.01']||NP|[]|[]|False|[]|['of', 'either']|[]|['above', u'represent']|NN|False|True|False|6|True|PP|of|represents|False|0.3|THE|A
654|A|"data/parsed/22/wsj_2202.mrg|31|40"|He was flawless afield -LRB- ditto in game two -RRB- , moved [ a runner ] along in the A 's three-run second inning , and homered for his team 's final tally .|runner|sg|NN|[u'criminal.n.01']||NP|[]|[]|False|[]|['along', 'in']|[]|[',', u'move']|NN|False|True|False|9|False|PP|along|was|False|0.387096774194|THE|A
670|A|"data/parsed/22/wsj_2202.mrg|32|112"|Such is his reputation among the East Bay Bashers that when he hit his first career home run last season , the fan who caught it agreed to turn the ball over to him in return for [ an autograph . ]|autograph|sg|NN|[u'writing.n.02']||PP|['.']|[]|False|['.']|[]|[]|['return', 'for']|NN|False|False|False|0|False|||to|False|0.973684210526|THE|A
690|A|"data/parsed/22/wsj_2202.mrg|35|112"|He smoked Toronto in the playoffs with six hits , seven walks and eight stolen bases in 22 at bats , and continued that by going 3-for-3 at the plate Sunday , along with walking , stealing [ a base ] and scoring a run .|base|sg|NN|[u'military_installation.n.01']||VP|[]|[]|False|[]|['and', u'score']|[]|[',', u'steal']|NN|False|False|False|0|False|||stealing|True|0.860465116279|THE|A
691|A|"data/parsed/22/wsj_2202.mrg|35|122"|He smoked Toronto in the playoffs with six hits , seven walks and eight stolen bases in 22 at bats , and continued that by going 3-for-3 at the plate Sunday , along with walking , stealing a base and scoring [ a run . ]|run|sg|NN|[u'score.n.10']||VP|['.']|[]|True|['.']|[]|[]|['and', u'score']|NN|False|False|False|0|False|||stealing|True|0.97619047619|THE|A
729|A|"data/parsed/22/wsj_2202.mrg|42|57"|`` I 'd rather see a so-so hitter who 's hot come up for the other side than [ a good hitter ] who 's cold . ''|hitter|sg|NN|[u'ballplayer.n.01']||NP|[]|['JJ']|True|[]|"['who', ""'s""]"|['good']|['side', 'than']|NN|False|True|False|5|False|SBAR|who|come|True|0.75|THE|A
769|A|"data/parsed/22/wsj_2203.mrg|6|63"|The computer maker , which sells more than half its goods outside the U.S. , also said the negative effect of [ a stronger U.S. dollar ] will `` adversely affect '' its fourth-quarter performance and `` make it difficult '' to better 1988 results .|dollar|sg|NN|[u'monetary_unit.n.01']||PP|[]|['JJR', 'NNP']|False|[]|['will', '``']|[u'strong', 'U.S.']|['effect', 'of']|NN|False|False|False|0|False|||will|False|0.512195121951|THE|A
776|A|"data/parsed/22/wsj_2203.mrg|7|40"|NCR said revenue declined both in the U.S. and overseas , reflecting [ a world-wide softening ] of the computer markets .|softening|sg|NN|[u'natural_process.n.01']||NP|[]|['JJ']|False|[]|['of']|['world-wide']|[',', u'reflect']|NN|False|True|False|5|True|PP|of|reflecting|False|0.666666666667|THE|A
789|A|"data/parsed/22/wsj_2203.mrg|9|65"|Analysts estimate those gains at 12 % to 13 % , a good part of it coming from large orders placed by [ a few ] of NCR 's major customers .|few||JJ|[u'elite.n.01']||NP|[]|[]|False|[]|['of', 'NCR']|[]|[u'place', 'by']|JJ|False|True|False|6|True|PP|of|coming||0.758620689655|THE|A
793|A|"data/parsed/22/wsj_2203.mrg|10|15"|In addition to [ a general slowing ] of the computer industry , NCR , which sells automated teller machines and computerized cash registers , is also affected by the retail and financial sectors , `` areas of the economy that have generally not been robust , '' notes S Sanjiv G. Hingorani , an analyst for Salomon Brothers Inc .|slowing|sg|NN|[u'change.n.01']||NP|[]|['JJ']|False|[]|['of']|['general']|['addition', 'to']|NN|False|True|False|5|True|PP|of|is|False|0.0526315789474|THE|A
805|A|"data/parsed/22/wsj_2203.mrg|11|18"|These factors , combined with [ a strong dollar , ] should negatively affect the current quarter 's results , NCR said S .|dollar|sg|NN|[u'monetary_unit.n.01']||PP|[',']|['JJ']|True|[',']|['should', 'negatively']|['strong']|[u'combine', 'with']|NN|False|False|False|0|False|||should|True|0.263157894737|THE|A
880|A|"data/parsed/22/wsj_2204.mrg|4|33"|That should stop a lot of account-churning , and produce [ a stock market ] driven only by professional concern , careful thought and good sense .|market|sg|NN|[u'activity.n.01']||NP|[]|['NN']|False|[]|[u'drive', 'only']|['stock']|['and', 'produce']|NN|False|True|False|6|False|VP|driven|should|False|0.434782608696|THE|A
926|A|"data/parsed/22/wsj_2205.mrg|8|42"|But as the day ended in a frantic Wall Street-inspired rally , the City breathed [ a sigh ] of relief .|sigh|sg|NN|[u'utterance.n.01']||NP|[]|[]|False|[]|['of', 'relief']|[]|['City', u'breathe']|NN|False|True|False|3|True|PP|of|breathed|False|0.789473684211|THE|A
989|A|"data/parsed/22/wsj_2205.mrg|19|14"|The Jefferies office , [ a branch ] of the Los Angeles-based firm , played it conservatively , seeking to avoid risk .|branch|sg|NN|[u'division.n.04']||NP|[]|[]|False|[]|['of']|[]|['office', ',']|NN|False|True|False|6|True|PP|of|played|False|0.2|THE|A
1036|A|"data/parsed/22/wsj_2205.mrg|28|27"|He targeted 7,500 shares of Reuters and punched [ a button ] to call up on his screen other dealers ' price quotes .|button|sg|NN|[u'fastener.n.02']||VP|[]|[]|False|[]|['to', 'call']|[]|['and', u'punch']|NN|False|False|False|0|False|||targeted|False|0.380952380952|THE|A
1049|A|"data/parsed/22/wsj_2205.mrg|30|25"|But the market sensed a serious buyer on [ a day ] dominated by selling , and the quotes immediately jumped to 850 pence .|day|sg|NN|[u'time_unit.n.01']||NP|[]|[]|False|[]|[u'dominate', 'by']|[]|['buyer', 'on']|NN|False|True|False|4|False|VP|dominated|sensed|False|0.363636363636|THE|A
1076|A|"data/parsed/22/wsj_2205.mrg|35|33"|`` Fundamentally dangerous ... , '' Mr. Smith said , almost in [ a whisper , `` ... . ] fundamentally weak ... fairly vulnerable still ... extremely dangerously poised ...|whisper|sg|NN|[u'speaking.n.01']||NP|[',', '``', ':', '.']|[]|False|[',', '``', '...', '.']|['fundamentally', 'weak']|[]|['almost', 'in']|NN|False|True|False|11|False|ADJP|fundamentally|said|False|0.5|THE|A
1085|A|"data/parsed/22/wsj_2205.mrg|39|18"|`` It 's falling like [ a stone , '' ] said Danny Linger , a pit trader who was standing outside the London International Financial Futures Exchange .|stone|sg|NN|[u'natural_object.n.01']||PP|"[',', ""''""]"|[]|False|"[',', ""''""]"|[u'say', 'Danny']|[]|[u'fall', 'like']|NN|False|False|False|0|False|||'s|False|0.208333333333|THE|A
1132|A|"data/parsed/22/wsj_2205.mrg|48|10"|They saw [ an opportunity ] created by the sell-off .|opportunity|sg|NN|[u'possibility.n.02']||NP|[]|[]|False|[]|[u'create', 'by']|[]|['They', 'saw']|NN|False|True|False|5|False|VP|created|saw|False|0.25|THE|A
1150|A|"data/parsed/22/wsj_2205.mrg|52|71"|`` The MMI has gone better , '' shouted one trader at about 3:15 London time , as the U.S. Major Markets Index contract suddenly indicated [ a turnabout . ]|turnabout|sg|NN|[u'decision_making.n.01']||VP|['.']|[]|False|['.']|[]|[]|['suddenly', u'indicate']|NN|False|False|False|0|False||||False|0.962962962963|THE|A
1159|A|"data/parsed/22/wsj_2205.mrg|55|33"|Then , nine minutes later , Wall Street suddenly rebounded to [ a gain ] on the day .|gain|sg|NN|[u'indefinite_quantity.n.01']||NP|[]|[]|False|[]|['on']|[]|[u'rebound', 'to']|NN|False|True|False|4|False|PP|on|rebounded|False|0.6875|THE|A
1187|A|"data/parsed/22/wsj_2206.mrg|1|127"|Ambassador Paul Nitze 's statement -LRB- Notable & Quotable , Sept. 20 -RRB- , `` If you have a million people working for you , every bad thing that has one chance in a million of going wrong will go wrong at least once [ a year , '' ] is a pretty negative way of looking at things .|year|sg|NN|[u'time_period.n.01']||S|"[',', ""''""]"|[]|False|"[',', ""''""]"|[u'be']|[]|['least', 'once']|NN|False|False|False|0|False|||is|False|0.8|THE|A
1197|A|"data/parsed/22/wsj_2206.mrg|2|115"|Is n't it just as fair to say that if you have a million people working for you , every good thing that has one chance in a million of going right will go right at least once [ a year ? ]|year|sg|NN|[u'time_period.n.01']||VP|['.']|[]|True|['?']|[]|[]|['least', 'once']|NN|False|False|False|0|False|||will|True|0.974358974359|THE|A
1202|A|"data/parsed/22/wsj_2207.mrg|1|16"|The House Aviation Subcommittee approved [ a bill ] that would give the transportation secretary authority to review and approve leveraged buy-outs of major U.S. airlines .|bill|sg|NN|[u'legal_document.n.01']||NP|[]|[]|False|[]|['that', 'would']|[]|['Subcommittee', u'approve']|NN|False|True|False|18|False|SBAR|that|approved|False|0.208333333333|THE|A
1216|A|"data/parsed/22/wsj_2207.mrg|2|84"|The collapsed plan to acquire UAL Corp. , parent of United Airlines , spurred quick action on the legislation , introduced Wednesday and approved by the subcommittee on [ a voice vote ] yesterday .|vote|sg|NN|[u'choice.n.02']||PP|[]|['NN']|False|[]|['yesterday', '.']|['voice']|['subcommittee', 'on']|NN|False|False|False|0|False|||spurred|False|0.903225806452|THE|A
1221|A|"data/parsed/22/wsj_2207.mrg|3|53"|The bill is expected to be taken up by the Public Works and Transportation Committee tomorrow , and [ a floor vote ] by next week will be urged .|vote|sg|NN|[u'choice.n.02']||NP|[]|['NN']|True|[]|['by', 'next']|['floor']|[',', 'and']|NN|False|True|False|3|False|PP|by|will|True|0.692307692308|THE|A
1289|A|"data/parsed/22/wsj_2207.mrg|13|31"|The bill is aimed at addressing the concern that [ an airline ] might sacrifice costly safety measures to pay off the debt incurred in a leveraged buy-out .|airline|sg|NN|[u'hose.n.03']||S|[]|[]|False|[]|['might', 'sacrifice']|[]|['concern', 'that']|NN|False|False|False|0|False|||might|False|0.346153846154|THE|A
1292|A|"data/parsed/22/wsj_2207.mrg|13|73"|The bill is aimed at addressing the concern that an airline might sacrifice costly safety measures to pay off the debt incurred in [ a leveraged buy-out . ]|buy-out|sg|NN|||PP|['.']|['JJ']|False|['.']|[]|['leveraged']|[u'incur', 'in']|NN|False|False|False|0|False|||might|False|0.958333333333|THE|A
1311|A|"data/parsed/22/wsj_2207.mrg|16|29"|In general , the bill would give the Transportation Department [ a 30-day review period ] before 15 % or more of the voting stock of a major U.S. air carrier could be acquired .|period|sg|NN|[u'fundamental_quantity.n.01']||VP|[]|['JJ', 'NN']|False|[]|['before', '<number>']|['30-day', 'review']|['Transportation', 'Department']|NN|False|False|False|0|False|||would|False|0.333333333333|THE|A
1323|A|"data/parsed/22/wsj_2207.mrg|18|26"|The bill would allow the secretary to reject [ a buy-out ] if sufficient information has n't been provided , or if the buy-out is likely to weaken the carrier financially , result in a substantial reduction in size of the airline through disposal of assets , or give control to a foreign interest .|buy-out|sg|NN|||VP|[]|[]|True|[]|['if', 'sufficient']|[]|['to', 'reject']|NN|False|False|False|0|False|||to|True|0.153846153846|THE|A
1367|A|"data/parsed/22/wsj_2208.mrg|1|52"|In a possible prelude to the resumption of talks between Boeing Co. and striking Machinists union members , [ a federal mediator ] said representatives of the two sides will meet with him tomorrow .|mediator|sg|NN|[u'negotiator.n.01']||S|[]|['JJ']|False|[]|[u'say', u'representative']|['federal']|[u'member', ',']|NN|False|False|False|0|False|||said|False|0.58064516129|THE|A
1379|A|"data/parsed/22/wsj_2208.mrg|2|87"|`` It could be a long meeting or it could be a short one , '' said Doug Hammond , the mediator , who called the agreement to meet [ a first step ] toward a resumption of negotiations .|step|sg|NN|[u'maneuver.n.04']||NP|[]|['JJ']|False|[]|['toward']|['first']|['to', 'meet']|NN|False|True|False|6|False|PP|toward|agreement|False|0.805555555556|THE|A
1380|A|"data/parsed/22/wsj_2208.mrg|2|98"|`` It could be a long meeting or it could be a short one , '' said Doug Hammond , the mediator , who called the agreement to meet a first step toward [ a resumption ] of negotiations .|resumption|sg|NN|[u'beginning.n.05']||NP|[]|[]|True|[]|['of', u'negotiation']|[]|['step', 'toward']|NN|False|True|False|3|True|PP|of|agreement|True|0.891891891892|THE|A
1406|A|"data/parsed/22/wsj_2208.mrg|7|7"|With [ a strike fund ] of about $ 100 million , the union had said it was prepared for a long strike .|fund|sg|NN|[u'money.n.01']||NP|[]|['NN']|False|[]|['of', 'about']|['strike']|['With']|NN|False|True|False|6|True|PP|of|had|False|0.05|THE|A
1471|A|"data/parsed/22/wsj_2209.mrg|6|43"|Dataproducts , which had been seeking a buyer for several months , announced [ a restructuring plan ] in September and took itself off the auction block .|plan|sg|NN|[u'idea.n.01']||VP|[]|['NN']|True|[]|['in', 'September']|['restructuring']|[',', u'announce']|NN|False|False|False|0|False|||announced|True|0.541666666667|THE|A
1484|A|"data/parsed/22/wsj_2209.mrg|8|27"|As part of the plan , Dataproducts announced [ a pact ] to sell $ 63 million of its real estate holdings to Trizec Properties Inc. , a unit of Canada 's Trizec Corp .|pact|sg|NN|[u'written_agreement.n.01']||NP|[]|[]|False|[]|['to', 'sell']|[]|['Dataproducts', u'announce']|NN|False|True|False|23|False|S|to|announced|False|0.25|THE|A
1488|A|"data/parsed/22/wsj_2209.mrg|8|74"|As part of the plan , Dataproducts announced a pact to sell $ 63 million of its real estate holdings to Trizec Properties Inc. , [ a unit ] of Canada 's Trizec Corp .|unit|sg|NN|[u'definite_quantity.n.01']||NP|[]|[]|False|[]|['of', 'Canada']|[]|['Inc.', ',']|NN|False|True|False|6|True|PP|of|to|False|0.78125|THE|A
1553|A|"data/parsed/22/wsj_2210.mrg|11|10"|Following is [ a breakdown ] of major market activity :|breakdown|sg|NN|[u'disruption.n.04']||NP|[]|[]|True|[]|['of', 'major']|[]|['Following', u'be']|NN|False|True|False|5|True|PP|of||True|0.25|THE|A
1613|A|"data/parsed/22/wsj_2210.mrg|22|33"|`` The beginning was chaotic , '' said Nigel Longley , [ a broker ] for Commerzbank AG .|broker|sg|NN|[u'businessperson.n.01']||NP|[]|[]|False|[]|['for', 'Commerzbank']|[]|['Longley', ',']|NN|False|True|False|4|False|PP|for||False|0.6875|THE|A
1617|A|"data/parsed/22/wsj_2210.mrg|23|18"|`` It took three-quarters of [ an hour ] before enough prices could be worked out to get a reading on the market . ''|hour|sg|NN|[u'time_unit.n.01']||PP|[]|[]|False|[]|['before', 'enough']|[]|['three-quarters', 'of']|NN|False|False|False|0|False|||took|False|0.227272727273|THE|A
1649|A|"data/parsed/22/wsj_2210.mrg|28|63"|But even if Wall Street continues to stabilize , analysts here say the latest blow to investor confidence could inhibit [ a swift recovery ] for the Frankfurt exchange , which already was showing signs of weakness after the DAX had slipped from a 1989 high of 1657.61 on Sept. 8 .|recovery|sg|NN|[u'improvement.n.01']||NP|[]|['JJ']|False|[]|['for']|['swift']|['could', 'inhibit']|NN|False|True|False|27|False|PP|for|could|False|0.416666666667|THE|A
1654|A|"data/parsed/22/wsj_2210.mrg|28|126"|But even if Wall Street continues to stabilize , analysts here say the latest blow to investor confidence could inhibit a swift recovery for the Frankfurt exchange , which already was showing signs of weakness after the DAX had slipped from [ a 1989 high ] of 1657.61 on Sept. 8 .|high|sg|NN|[u'degree.n.01']||NP|[]|['CD']|False|[]|['of', '<number>']|['<number>']|[u'slip', 'from']|NN|False|True|False|2|True|PP|of|had|False|0.854166666667|THE|A
1662|A|"data/parsed/22/wsj_2210.mrg|30|5"|[ A 16.3 % drop ] for Mannesmann AG and Dresdner Bank AG 's 9.6 % decline were especially problematic for their respective boards , whose plans for major rights issues in November could now be in jeopardy .|drop|sg|NN|[u'sphere.n.05']||NP|[]|['CD', 'NN']|False|[]|['for', 'Mannesmann']|['<number>', '%']|[]|NN|False|True|False|3|False|PP|for|were|False|0.0|THE|A
1690|A|"data/parsed/22/wsj_2210.mrg|34|11"|Headed toward [ a record drop ] at midday , the London stock market recouped two-thirds of its losses in the wake of New York 's early rally .|drop|sg|NN|[u'sphere.n.05']||NP|[]|['NN']|True|[]|['at', 'midday']|['record']|['Headed', 'toward']|NN|False|True|False|3|False|PP|at|Headed|True|0.08|THE|A
1728|A|"data/parsed/22/wsj_2210.mrg|41|33"|The CAC General Index ended down 5.4 % at 523.6 , [ a drop ] of 29.6 points from Friday .|drop|sg|NN|[u'sphere.n.05']||NP|[]|[]|False|[]|['of', '<number>']|[]|['<number>', ',']|NN|False|True|False|3|True|PP|of|ended|False|0.611111111111|THE|A
1736|A|"data/parsed/22/wsj_2210.mrg|42|61"|`` There was a volatility in the market that I have never seen before , '' said Michel Vigier , [ a partner ] in brokerage firm Cholet Dupont .|partner|sg|NN|[u'domestic_partner.n.01', u'relative.n.01']||NP|[]|[]|False|[]|['in', 'brokerage']|[]|['Vigier', ',']|NN|False|True|False|6|False|PP|in||False|0.740740740741|THE|A
1874|A|"data/parsed/22/wsj_2211.mrg|20|14"|The latest quarter included [ a gain ] of $ 56.1 million , or 59 cents a share , related to the purchase of the remaining 51 % of NCNB Texas National Bank from the Federal Deposit Insurance Corp .|gain|sg|NN|[u'indefinite_quantity.n.01']||NP|[]|[]|False|[]|['of', '$']|[]|['quarter', u'include']|NN|False|True|False|32|True|PP|of|included|False|0.108108108108|THE|A
1915|A|"data/parsed/22/wsj_2211.mrg|25|84"|The deterioration in credit quality offset strong loan growth of 17 % in NCNB 's Southeast operations , as well as a 28 % growth in deposits resulting from [ an aggressive marketing campaign . ]|campaign|sg|NN|[u'race.n.01']||PP|['.']|['JJ', 'NN']|False|['.']|[]|['aggressive', 'marketing']|[u'result', 'from']|NN|False|False|False|0|False|||offset|False|0.966666666667|THE|A
2019|A|"data/parsed/22/wsj_2211.mrg|41|42"|The earnings represent a 0.89 % return on assets for Security Pacific , and [ an 18.9 % return ] on equity .|return|sg|NN|[u'legal_document.n.01']||NP|[]|['CD', 'NN']|False|[]|['on', 'equity']|['<number>', '%']|[',', 'and']|NN|False|True|False|3|False|PP|on|represent|True|0.777777777778|THE|A
2065|A|"data/parsed/22/wsj_2212.mrg|1|28"|LIN Broadcasting Corp. said it wo n't take [ a position ] on a revised tender offer by McCaw Cellular Communications Inc. to buy LIN and has asked for clarification of the offer .|position|sg|NN|[u'point.n.02']||NP|[]|[]|False|[]|['on']|[]|"[""n't"", 'take']"|NN|False|True|False|10|False|PP|on|wo|False|0.258064516129|THE|A
2080|A|"data/parsed/22/wsj_2212.mrg|3|31"|McCaw 's revised tender offer would require McCaw to begin [ an auction process ] in July 1994 that would buy out remaining holders at a per-share price roughly equivalent to what a third party might then have to pay for all of LIN .|process|sg|NN|[u'activity.n.01']||VP|[]|['NN']|False|[]|['in', 'July']|['auction']|['to', 'begin']|NN|False|False|False|0|False|||to|False|0.243902439024|THE|A
2084|A|"data/parsed/22/wsj_2212.mrg|3|89"|McCaw 's revised tender offer would require McCaw to begin an auction process in July 1994 that would buy out remaining holders at a per-share price roughly equivalent to what [ a third party ] might then have to pay for all of LIN .|party|sg|NN|[u'organization.n.01']||S|[]|['JJ']|False|[]|['might', 'then']|['third']|['to', 'what']|NN|False|False|False|0|False|||might|False|0.731707317073|THE|A
